tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38664,8550,7060871,135116,2017-08-01 16:23:56
892177421306343426,33127,6287,7060871,135116,2017-08-01 00:17:27
891815181378084864,24939,4166,7060871,135116,2017-07-31 00:18:03
891689557279858688,42044,8673,7060871,135116,2017-07-30 15:58:51
891327558926688256,40194,9439,7060871,135116,2017-07-29 16:00:24
891087950875897856,20157,3121,7060871,135116,2017-07-29 00:08:17
890971913173991426,11810,2079,7060871,135116,2017-07-28 16:27:12
890729181411237888,65300,18957,7060871,135116,2017-07-28 00:22:40
890609185150312448,27702,4278,7060871,135116,2017-07-27 16:25:51
890240255349198849,31830,7441,7060871,135116,2017-07-26 15:59:51
890006608113172480,30570,7360,7060871,135116,2017-07-26 00:31:25
889880896479866881,27698,4984,7060871,135116,2017-07-25 16:11:53
889665388333682689,47968,10090,7060871,135116,2017-07-25 01:55:32
889638837579907072,27087,4558,7060871,135116,2017-07-25 00:10:02
889531135344209921,15046,2241,7060871,135116,2017-07-24 17:02:04
889278841981685760,25212,5437,7060871,135116,2017-07-24 00:19:32
888917238123831296,28997,4510,7060871,135116,2017-07-23 00:22:39
888804989199671297,25509,4360,7060871,135116,2017-07-22 16:56:37
888554962724278272,19836,3595,7060871,135116,2017-07-22 00:23:06
888078434458587136,21694,3508,7060871,135116,2017-07-20 16:49:33
887705289381826560,30087,5411,7060871,135116,2017-07-19 16:06:48
887517139158093824,46100,11701,7060871,135116,2017-07-19 03:39:09
887473957103951883,68888,18282,7060871,135116,2017-07-19 00:47:34
887343217045368832,33571,10433,7060871,135116,2017-07-18 16:08:03
887101392804085760,30446,5979,7060871,135116,2017-07-18 00:07:08
886983233522544640,35052,7803,7060871,135116,2017-07-17 16:17:36
886736880519319552,12029,3304,7060871,135116,2017-07-16 23:58:41
886680336477933568,22341,4480,7060871,135116,2017-07-16 20:14:00
886366144734445568,21128,3205,7060872,135116,2017-07-15 23:25:31
886267009285017600,116,4,7060872,135116,2017-07-15 16:51:35
886258384151887873,27883,6304,7060872,135116,2017-07-15 16:17:19
886054160059072513,0,104,7060872,135116,2017-07-15 02:45:48
885984800019947520,32591,6837,7060872,135116,2017-07-14 22:10:11
885528943205470208,35883,6452,7060872,135116,2017-07-13 15:58:47
885518971528720385,20356,3773,7060872,135116,2017-07-13 15:19:09
885311592912609280,0,18628,7060872,135116,2017-07-13 01:35:06
885167619883638784,21885,4395,7060872,135116,2017-07-12 16:03:00
884925521741709313,77244,18514,7060872,135116,2017-07-12 00:01:00
884876753390489601,27844,5805,7060872,135116,2017-07-11 20:47:12
884562892145688576,24225,4882,7060872,135116,2017-07-11 00:00:02
884441805382717440,26899,5666,7060872,135116,2017-07-10 15:58:53
884247878851493888,72797,20511,7060872,135116,2017-07-10 03:08:17
884162670584377345,20326,2993,7060872,135116,2017-07-09 21:29:42
883838122936631299,21827,3454,7060872,135116,2017-07-09 00:00:04
883482846933004288,45815,9999,7060872,135116,2017-07-08 00:28:19
883360690899218434,22490,3686,7060872,135116,2017-07-07 16:22:55
883117836046086144,37108,6693,7060872,135116,2017-07-07 00:17:54
882992080364220416,23887,3933,7060872,135116,2017-07-06 15:58:11
882762694511734784,28232,4936,7060872,135116,2017-07-06 00:46:41
882627270321602560,27818,6110,7060872,135116,2017-07-05 15:48:34
882268110199369728,44847,11632,7060872,135116,2017-07-04 16:01:23
882045870035918850,29269,4995,7060872,135116,2017-07-04 01:18:17
881906580714921986,24227,3405,7060872,135116,2017-07-03 16:04:48
881666595344535552,50421,10701,7060872,135116,2017-07-03 00:11:11
881633300179243008,128,7,7060872,135116,2017-07-02 21:58:53
881536004380872706,49312,16025,7060872,135116,2017-07-02 15:32:16
881268444196462592,23007,5173,7060872,135116,2017-07-01 21:49:04
880935762899988482,16957,2785,7060873,135116,2017-06-30 23:47:07
880872448815771648,21230,3833,7060873,135116,2017-06-30 19:35:32
880465832366813184,28436,6302,7060873,135116,2017-06-29 16:39:47
880221127280381952,26996,4247,7060873,135116,2017-06-29 00:27:25
880095782870896641,27548,4372,7060873,135116,2017-06-28 16:09:20
879862464715927552,22246,3506,7060873,135116,2017-06-28 00:42:13
879674319642796034,311,10,7060873,135116,2017-06-27 12:14:36
879492040517615616,23345,3195,7060873,135116,2017-06-27 00:10:17
879415818425184262,105612,44305,7060873,135116,2017-06-26 19:07:24
879376492567855104,16724,3128,7060873,135116,2017-06-26 16:31:08
879130579576475649,0,6869,7060873,135116,2017-06-26 00:13:58
879050749262655488,22530,4732,7060873,135116,2017-06-25 18:56:45
879008229531029506,18912,2703,7060873,135116,2017-06-25 16:07:47
878776093423087618,19363,4149,7060873,135116,2017-06-25 00:45:22
878604707211726852,30206,7253,7060873,135116,2017-06-24 13:24:20
878404777348136964,0,1300,7060873,135116,2017-06-24 00:09:53
878316110768087041,0,6684,7060873,135116,2017-06-23 18:17:33
878281511006478336,7738,1300,7060874,135116,2017-06-23 16:00:04
